date,demand,RRP,demand_pos_RRP,RRP_positive
3/28/2016,102746.6,27.58617697,102746.6,27.58617697
3/29/2016,118281.13,31.07095135,118281.13,31.07095135
3/30/2016,122625.21,29.06251382,122625.21,29.06251382
3/31/2016,122964.715,21.90202897,118262.935,26.05331576
4/1/2016,116321.6,14.49079665,113832.295,15.12608467
4/2/2016,102832.72,13.56898646,102832.72,13.56898646
4/3/2016,102084,15.80399954,102084,15.80399954
4/4/2016,120445.735,38.46855031,120445.735,38.46855031
4/5/2016,120371.235,21.42320815,104599.475,34.53170555
4/6/2016,125657.125,45.52080455,125657.125,45.52080455
4/7/2016,125663.33,52.13196852,125663.33,52.13196852
4/8/2016,124266.885,75.35781074,124266.885,75.35781074
4/9/2016,109044.9,73.13914453,109044.9,73.13914453
4/10/2016,99845.345,35.12054575,99845.345,35.12054575
4/11/2016,118614.005,62.30651081,118614.005,62.30651081
4/12/2016,123808.76,62.9645525,123808.76,62.9645525
4/13/2016,124686.63,77.21022318,124686.63,77.21022318
4/14/2016,126519.065,92.92520704,126519.065,92.92520704
4/15/2016,124721.485,81.71784794,124721.485,81.71784794
4/16/2016,108525.965,51.52896856,108525.965,51.52896856
4/17/2016,100526.305,39.12944308,100526.305,39.12944308
4/18/2016,123441.82,61.62911492,123441.82,61.62911492
4/19/2016,126846.445,54.57119179,126846.445,54.57119179
4/20/2016,125204.785,40.0536623,125204.785,40.0536623
4/21/2016,125514.14,55.74046858,125514.14,55.74046858
4/22/2016,120124.305,52.29655518,120124.305,52.29655518
4/23/2016,108773.745,36.7345262,108773.745,36.7345262
